Zipcode,lat,Long,City,State
50001,41.363615,-93.414947,MILO,IA
62662,39.5508,-89.8458,WAVERLY,IL
55020,44.571365,-93.360116,NEW MARKET,MN
55020,44.571365,-93.360116,NEW MRKT,MN
68623,41.441371,-98.109409,CEDAR RAPIDS,NE
73638,35.819529,-99.774257,DURHAM,OK
17883,40.9386,-76.9883,MIFFLINBURG,PA
18453,41.75098,-75.371098,FOREST CITY,PA
16910,41.705,-76.8286,SNYDERTOWN,PA
16910,41.705,-76.8286,SNYDERTWN,PA
16910,41.705,-76.8286,SUNBURY,PA
25009,38.179811,-81.725667,NELLIS,WV
92147,32.7152,-117.1563,ASW TRAINING CTR,CA
67734,39.488765,-100.897555,REXFORD,KS
41214,37.775385,-82.570342,INEZ,KY
58794,48.298407,-102.766451,Stanley,ND
22727,38.393351,-78.287375,ETLAN,VA
22727,38.393351,-78.287375,BANCO,VA
22721,38.393351,-78.287375,GRAVES MILL,VA
25936,37.930061,-81.059645,GLEN JEAN,WV
28552,35.304817,-76.571155,HOBUCKEN,NC
23846,37.064244,-76.826371,DENDRON,VA
22581,38.12,-76.7825,MONTROSS,VA
22430,38.3865,-77.3797,STAFFORD,VA
52737,41.259329,-91.37449,COLUMBUS JUNCTION,IA
52048,42.738079,-91.250785,GUTTENBERG,IA
50165,40.847504,-93.305021,CORYDON,IA
50059,41.919495,-94.345182,JEFFERSON,IA
61435,40.972589,-90.548354,GERLAW,IL
47123,38.284524,-86.461035,ENGLISH,IN
67660,38.704467,-99.181506,HAYS,KS
42334,37.735,-87.3316,OWENSBORO,KY
59240,48.848,-106.2488,RICHLAND,MT
28319,34.4086,-79.0469,Orrum,NC
69335,41.996022,-102.182474,ASHBY,NE
68964,40.230878,-97.894279,NELSON,NE
87580,36.546068,-105.607285,TAOS,NM
43047,40.208,-83.6383,NORTH LEWISBURG,OH
9394,0,0,FPO,AE
38048,35.153,-89.4897,OAKLAND,TN
22709,38.312548,-78.236223,MADISON,VA
83215,43.442618,-112.813162,BLACKFOOT,ID
46162,39.542985,-85.959288,FRANKLIN,IN
28547,34.637348,-77.312704,NAVAL HOS,NC
28547,34.637348,-77.312704,NAVAL HOSPITAL,NC
58236,48.714076,-97.447411,CAVALIER,ND
88262,33.148388,-103.352163,LOVINGTON,NM
45687,38.9702,-83.02,PIKETON,OH
43828,40.345,-81.8683,COSHOCTON,OH
74850,35.104311,-96.090678,HOLDENVILLE,OK
95981,39.584801,-121.087628,CLIPPER MILLS,CA
62843,38.365545,-88.194549,ALBION,IL
63540,40.096431,-92.418096,LA PLATA,MO
14751,42.293,-79.0166,CONEWANGO VALLEY,NY
73551,34.325802,-98.86104,Frederick,OK
77617,29.507243,-94.520285,PORT BOLIVAR,TX
22832,38.453741,-78.78234,PENN LAIRD,VA
9397,0,0,APO,AE
9846,0,0,DPO,AE
20417,38.897281,-77.048256,WASHINGTON,DC
33106,25.787345,-80.322727,MIAMI,FL
501,40.8152,-73.0455,HOLTSVILLE,NY
501,40.8152,-73.0455,I R S SERVICE CENTER,NY
544,40.8152,-73.0455,HOLTSVILLE,NY
544,40.8152,-73.0455,IRS SERVICE CENTER,NY
601,18.180103,-66.749472,ADJUNTAS,PR
601,18.180103,-66.749472,JARD DE ADJUNTAS,PR
601,18.180103,-66.749472,URB SAN JOAQUIN,PR
602,18.363285,-67.180247,AGUADA,PR
602,18.363285,-67.180247,ALTS DE AGUADA,PR
602,18.363285,-67.180247,BO GUANIQUILLA,PR
602,18.363285,-67.180247,BRISAS DEL MAR,PR
602,18.363285,-67.180247,COMUNIDAD LAS FLORES,PR
602,18.363285,-67.180247,EXT LOS ROBLES,PR
602,18.363285,-67.180247,URB ISABEL LA CATOLICA,PR
602,18.363285,-67.180247,URB MONTEMAR,PR
602,18.363285,-67.180247,URB SAN CRISTOBAL,PR
603,18.448619,-67.134224,AGUADILLA,PR
603,18.448619,-67.134224,BDA CABAN,PR
9888,,,APO,AE
55973,43.797677,-92.779902,HAYFIELD,MN
18430,41.759285,-75.501118,FOREST CITY,PA
59417,48.556986,-113.069802,BABB,MT
84717,37.62,-112.17,BRYCE CANYON,UT
84764,37.638578,-112.208571,BRYCE CANYON CITY,UT
84764,37.638578,-112.208571,BRYCE CYN CTY,UT
40816,36.987495,-83.32795,BLEDSOE,KY
63450,39.650093,-92.145361,SHELBINA,MO
57660,45.831561,-101.484623,MORRISTOWN,SD
20148,39.020637,-77.52276,ARCOLA,VA
60958,40.9685,-87.616,PEMBROKE TOWNSHIP,IL
60958,40.9685,-87.616,PEMBROKE TWP,IL
60958,40.9685,-87.616,SAINT ANNE,IL
603,18.448619,-67.134224,BDA ESTEVES,PR
603,18.448619,-67.134224,BDA NUEVA,PR
603,18.448619,-67.134224,BO BORINQUEN,PR
603,18.448619,-67.134224,EXT EL PRADO,PR
603,18.448619,-67.134224,EXT MARBELLA,PR
603,18.448619,-67.134224,INDUSTRIAL MONTANA,PR
603,18.448619,-67.134224,JARD DE ANASCO,PR
603,18.448619,-67.134224,JARD DE BORINQUEN,PR
603,18.448619,-67.134224,RAMEY,PR
603,18.448619,-67.134224,REPTO JIMENEZ,PR
603,18.448619,-67.134224,REPTO JUAN AGUIAR,PR
603,18.448619,-67.134224,REPTO LOPEZ,PR
603,18.448619,-67.134224,REPTO TRES PALMAS,PR
603,18.448619,-67.134224,SECT LAS VILLAS,PR
603,18.448619,-67.134224,URB BORINQUEN,PR
603,18.448619,-67.134224,URB EL PRADO,PR
603,18.448619,-67.134224,URB ESTEVES,PR
603,18.448619,-67.134224,URB GARCIA,PR
603,18.448619,-67.134224,URB LAS AMERICAS,PR
603,18.448619,-67.134224,URB MALEZA GDNS,PR
603,18.448619,-67.134224,URB MARBELLA,PR
603,18.448619,-67.134224,URB RETIRO,PR
603,18.448619,-67.134224,URB RUBIANES,PR
603,18.448619,-67.134224,URB SAN CARLOS,PR
603,18.448619,-67.134224,URB SANTA ELENA,PR
603,18.448619,-67.134224,URB SANTA MARIA,PR
603,18.448619,-67.134224,URB SANTA MARTA,PR
603,18.448619,-67.134224,URB VICTORIA,PR
603,18.448619,-67.134224,VALLE UNIVERSITARIO,PR
603,18.448619,-67.134224,VILLA ALEGRIA,PR
603,18.448619,-67.134224,VILLA LINDA,PR
603,18.448619,-67.134224,VILLA LYDIA,PR
603,18.448619,-67.134224,VILLA UNIVERSITARIA,PR
603,18.448619,-67.134224,VILLAS DE ALMERIA,PR
603,18.448619,-67.134224,VISTA ALEGRE,PR
603,18.448619,-67.134224,VISTA VERDE,PR
604,18.498987,-67.136995,AGUADILLA,PR
604,18.498987,-67.136995,RAMEY,PR
605,18.449619,-67.112869,AGUADILLA,PR
606,18.182151,-66.958807,MARICAO,PR
606,18.182151,-66.958807,URB SAN JUAN BAUTISTA,PR
610,18.288319,-67.136046,ANASCO,PR
610,18.288319,-67.136046,BRISAS DE ANASCO,PR
610,18.288319,-67.136046,COLINAS DE LIBRADA,PR
610,18.288319,-67.136046,JARD DE ANASCO,PR
610,18.288319,-67.136046,REPTO DAGUEY,PR
610,18.288319,-67.136046,URB FLAMBOYANES,PR
610,18.288319,-67.136046,URB LOS MAESTROS,PR
610,18.288319,-67.136046,URB PASEO DEL VALLE,PR
610,18.288319,-67.136046,URB SAGRADO CORAZON,PR
610,18.288319,-67.136046,URB SAN ANTONIO,PR
611,18.28854,-66.770683,ANGELES,PR
612,18.449732,-66.698797,ALT DE JUNCOS,PR
612,18.449732,-66.698797,ALT DE SAN FELIPE,PR
612,18.449732,-66.698797,ARECIBO,PR
612,18.449732,-66.698797,BDA DUHAMEL,PR
612,18.449732,-66.698797,BO EL PASAJE,PR
612,18.449732,-66.698797,BO ISLOTE,PR
612,18.449732,-66.698797,BO ISLOTE II,PR
612,18.449732,-66.698797,BO JAREALITOS,PR
612,18.449732,-66.698797,BO OBRERO,PR
612,18.449732,-66.698797,BO SANTANA,PR
612,18.449732,-66.698797,COMUNIDAD BUENOS AIRES,PR
612,18.449732,-66.698797,EST DE ARECIBO,PR
612,18.449732,-66.698797,EST DE BALSEIRO,PR
612,18.449732,-66.698797,EXT MARISOL,PR
612,18.449732,-66.698797,EXT TANAMA,PR
612,18.449732,-66.698797,EXT VILLA LOS SANTOS I,PR
